                   
                 Class     Images  Instances     Box(P)     Box(R)      mAP50   mAP50-95
                   all       1393       1440      0.855      0.899      0.933       0.88
            Abyssinian         55         55      0.883       0.96      0.958      0.907
      American Bobtail         64         65      0.788      0.831      0.875      0.855
         American Curl         44         47       0.84      0.872      0.945      0.892
                Bengal         69         70      0.712      0.847      0.903      0.813
                Birman         70         70      0.788      0.871      0.874      0.818
                Bombay         66         66      0.916      0.996      0.965      0.909
     British Shorthair         54         54      0.777      0.906      0.929      0.889
           Cornish Rex         60         61      0.878      0.967      0.954      0.918
          Egyptian Mau         51         51      0.755      0.882      0.923      0.888
            Khao Manee         42         49      0.834      0.959      0.977      0.903
                 Lykoi         44         52      0.969      0.904      0.946      0.898
            Maine Coon         67         67      0.881      0.925      0.963      0.898
              Munchkin         44         44      0.749      0.679      0.824      0.801
       Neva Masquerade         60         68      0.884      0.926      0.947      0.844
              Oriental         40         45      0.805      0.822      0.845      0.756
               Persian         65         65      0.791      0.989      0.946      0.914
               Ragdoll         61         61      0.786      0.787      0.855      0.827
          Russian Blue         67         67      0.887      0.896      0.966      0.924
              Savannah         44         47      0.921      0.957      0.958      0.896
         Scottish Fold         77         79      0.858      0.842      0.931      0.853
               Siamese         73         73      0.934      0.945      0.971      0.924
                Sphynx         65         69       0.96      0.942      0.977      0.914
                Toyger         42         45      0.952       0.88      0.963      0.925
                Tuxedo         70         70      0.968          1      0.995      0.963
