epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.074,0.67949,2.28527,1.35983,0.33734,0.42353,0.31053,0.21038,1.01466,2.24567,1.83225,0.00011887,0.00011887,0.00011887
2,316.519,0.70036,1.81975,1.36294,0.46648,0.54582,0.5137,0.35857,0.95162,1.70578,1.58446,0.00022845,0.00022845,0.00022845
3,462.636,0.6988,1.75814,1.35748,0.54948,0.6254,0.63505,0.46887,0.82938,1.35454,1.45108,0.000328606,0.000328606,0.000328606
4,606.748,0.66264,1.66635,1.33082,0.57998,0.63566,0.65681,0.49058,0.81357,1.25796,1.40584,0.000314588,0.000314588,0.000314588
5,750.563,0.63349,1.57422,1.30609,0.62299,0.6972,0.72012,0.55711,0.73886,1.14072,1.33169,0.000300451,0.000300451,0.000300451
6,894.785,0.60052,1.48567,1.27874,0.73357,0.718,0.78654,0.62186,0.68672,0.94726,1.26983,0.000286314,0.000286314,0.000286314
7,1038.76,0.582,1.41068,1.26088,0.69746,0.73849,0.78228,0.62072,0.69106,0.9893,1.22939,0.000272177,0.000272177,0.000272177
8,1182.09,0.56265,1.35928,1.24642,0.7187,0.72844,0.79202,0.64102,0.65065,1.00173,1.20583,0.00025804,0.00025804,0.00025804
9,1325.83,0.54827,1.30916,1.23576,0.76336,0.7744,0.82826,0.68384,0.62227,0.87693,1.15085,0.000243902,0.000243902,0.000243902
10,1469.88,0.53692,1.27067,1.22525,0.77419,0.80708,0.85886,0.72347,0.60218,0.77195,1.10785,0.000229765,0.000229765,0.000229765
11,1613.36,0.52697,1.22337,1.22074,0.77985,0.81648,0.87676,0.73823,0.559,0.72601,1.08015,0.000215628,0.000215628,0.000215628
12,1756.91,0.51428,1.17883,1.20678,0.80582,0.83052,0.88714,0.76474,0.54068,0.70268,1.04958,0.000201491,0.000201491,0.000201491
13,1900.51,0.50001,1.13714,1.19431,0.86398,0.80662,0.89843,0.76751,0.56578,0.67458,1.07769,0.000187354,0.000187354,0.000187354
14,2044.2,0.49827,1.11454,1.19203,0.833,0.84714,0.90472,0.79842,0.49036,0.6353,0.98191,0.000173216,0.000173216,0.000173216
15,2187.96,0.48641,1.07588,1.18585,0.89043,0.82873,0.91567,0.80431,0.51636,0.61379,1.02678,0.000159079,0.000159079,0.000159079
16,2332.63,0.37908,0.62363,1.19569,0.84537,0.85025,0.90782,0.811,0.46937,0.60934,0.97075,0.000144942,0.000144942,0.000144942
17,2476.36,0.35923,0.55728,1.1763,0.86748,0.85306,0.9132,0.8255,0.45191,0.58341,0.95729,0.000130805,0.000130805,0.000130805
18,2620.02,0.342,0.50176,1.15624,0.88852,0.86146,0.92295,0.84641,0.42276,0.55326,0.91362,0.000116668,0.000116668,0.000116668
19,2763.35,0.32917,0.46169,1.14537,0.85517,0.87066,0.91841,0.8456,0.41615,0.56287,0.90611,0.00010253,0.00010253,0.00010253
20,2907,0.31563,0.41857,1.13029,0.86688,0.86849,0.92365,0.85356,0.40031,0.54112,0.88626,8.83932e-05,8.83932e-05,8.83932e-05
21,3050.54,0.30491,0.37725,1.1188,0.89326,0.85237,0.92957,0.8635,0.38167,0.52196,0.86011,7.4256e-05,7.4256e-05,7.4256e-05
22,3193.46,0.28873,0.33895,1.09754,0.87291,0.88121,0.92944,0.86607,0.38922,0.51145,0.8635,6.01188e-05,6.01188e-05,6.01188e-05
23,3337.02,0.27649,0.31003,1.08858,0.86706,0.87842,0.92886,0.86867,0.3629,0.50904,0.84039,4.59816e-05,4.59816e-05,4.59816e-05
24,3480.11,0.26759,0.28664,1.07751,0.90366,0.85463,0.93312,0.87808,0.35696,0.49679,0.83413,3.18444e-05,3.18444e-05,3.18444e-05
25,3623.54,0.2548,0.25657,1.06775,0.85495,0.89936,0.93289,0.8803,0.34804,0.48695,0.82149,1.77072e-05,1.77072e-05,1.77072e-05
